chr1:205833757-205834257	500	500	60.4928	0.120986	0.120986
chr1:104610135-104610635	500	500	25.78	0.05156	0.05156
chr1:115914883-115915383	500	500	175.464	0.350928	0.350928
chr1:107607872-107608372	500	500	61.3347	0.122669	0.122669
chr1:13623757-13624257	500	500	63.4086	0.126817	0.126817
chr1:205088582-205089082	500	500	67.1342	0.134268	0.134268
chr1:146149910-146150410	500	500	25.78	0.05156	0.05156
chr1:176167549-176168049	500	500	181.163	0.362326	0.362326
chr1:117448611-117449111	500	500	104.488	0.208977	0.208977
chr1:814817-815317	500	500	48.6456	0.0972913	0.0972913
chr1:96616564-96617064	500	500	48.2065	0.096413	0.096413
chr1:124818877-124819377	500	500	25.78	0.05156	0.05156
chr1:209896614-209897114	500	500	223.587	0.447173	0.447173
chr1:3200277-3200777	500	500	25.9203	0.0518406	0.0518406
chr1:4291977-4292477	500	500	144.563	0.289126	0.289126
chr1:102795091-102795591	500	500	178.332	0.356665	0.356665
chr1:243812414-243812914	500	500	25.78	0.05156	0.05156
chr1:19475714-19476214	500	500	169.545	0.339089	0.339089
chr1:10208869-10209369	500	500	393.299	0.786597	0.786597
chr1:122254169-122254669	500	500	25.78	0.05156	0.05156
chr1:103861605-103862105	500	500	30.2891	0.0605781	0.0605781
chr1:103824877-103825377	500	500	74.2205	0.148441	0.148441
chr1:172535420-172535920	500	500	15.2497	0.0304993	0.0304993
chr1:50614440-50614940	500	500	107.371	0.214742	0.214742
chr1:176358234-176358734	500	500	71.7783	0.143557	0.143557
chr1:184406717-184407217	500	500	220.338	0.440677	0.440677
chr1:234269346-234269846	500	500	61.1306	0.122261	0.122261
chr1:113986785-113987285	500	500	54.3148	0.10863	0.10863
chr1:28795106-28795606	500	500	84.6156	0.169231	0.169231
chr1:224787970-224788470	500	500	134.598	0.269196	0.269196
chr1:186957697-186958197	500	500	130.861	0.261722	0.261722
chr1:113824917-113825417	500	500	111.311	0.222623	0.222623
chr1:222840476-222840976	500	500	44.5595	0.089119	0.089119
chr1:149476196-149476696	500	500	25.78	0.05156	0.05156
chr1:27055568-27056068	500	500	48.6456	0.0972913	0.0972913
chr1:116403038-116403538	500	500	100.276	0.200553	0.200553
chr1:165530726-165531226	500	500	48.6456	0.0972913	0.0972913
chr1:158734328-158734828	500	500	200.867	0.401735	0.401735
chr1:240230060-240230560	500	500	72.6923	0.145385	0.145385
chr1:206246879-206247379	500	500	25.78	0.05156	0.05156
chr1:110206025-110206525	500	500	234.387	0.468774	0.468774
chr1:44122083-44122583	500	500	60.567	0.121134	0.121134
chr1:222647322-222647822	500	500	58.7343	0.117469	0.117469
chr1:219374344-219374844	500	500	43.2828	0.0865656	0.0865656
chr1:223813464-223813964	500	500	83.678	0.167356	0.167356
chr1:188601397-188601897	500	500	68.9447	0.137889	0.137889
chr1:105187123-105187623	500	500	40.8937	0.0817874	0.0817874
chr1:232255121-232255621	500	500	176.034	0.352068	0.352068
chr1:84793566-84794066	500	500	192.388	0.384776	0.384776
