region,motif_score,chip_signal,label
chr2:231612477-231612977,11.343901797987169,67.6124,1
chr16:84970669-84971169,11.181774106386044,86.0351,1
chr16:84970465-84970965,11.181774106386044,116.149,1
chr3:98023169-98023669,11.181774106386044,126.23,1
chr4:5821540-5822040,11.181774106386044,20.1419,1
chr5:137499163-137499663,11.181774106386044,25.6795,1
chr17:75904883-75905383,10.98296666070122,57.1213,1
chr17:73369814-73370314,10.935542010773082,73.5056,1
chr6:138988145-138988645,10.903089986991944,57.7092,1
chr7:98021447-98021947,10.826813731587723,87.959,1
chr12:31636576-31637076,10.714442690992229,62.7879,1
chr19:13589176-13589676,10.628932137728263,75.8143,1
chr7:70856858-70857358,10.628932137728263,94.4038,1
chr13:80342788-80343288,10.61261017366127,24.0078,1
chr10:47047525-47048025,10.534617148551582,69.4124,1
chr19:47813604-47814104,10.429457060118102,31.4442,1
chr2:113979489-113979989,10.429457060118102,20.5792,1
chr14:93112733-93113233,10.386158178123932,114.448,1
chr1:182143098-182143598,10.386158178123932,54.8327,1
chr17:8745902-8746402,10.386158178123932,45.69,1
chr19:35067024-35067524,10.386158178123932,88.1877,1
chr17:27760215-27760715,10.360513510731414,104.353,1
chr9:130461096-130461596,10.360513510731414,69.7675,1
chr17:27760009-27760509,10.360513510731414,130.667,1
chr9:130461299-130461799,10.360513510731414,60.467,1
chr10:4849601-4850101,10.30189945437661,243.466,1
chr1:7647168-7647668,10.30189945437661,62.8503,1
chr17:4413124-4413624,10.30189945437661,65.1786,1
chr19:970596-971096,10.30189945437661,18.7595,1
chr1:156090630-156091130,10.291579099865288,58.0453,1
chr19:57099124-57099624,10.291579099865288,18.218,1
chr11:1832413-1832913,10.291579099865288,44.5032,1
chr16:66608448-66608948,10.291579099865288,50.3652,1
chr11:61899037-61899537,10.263603497723356,140.287,1
chr2:38536013-38536513,10.263603497723356,60.2311,1
chr11:3091722-3092222,10.263603497723356,67.0999,1
chr22:30387277-30387777,10.2580609222708,48.1951,1
chr12:121499831-121500331,10.2580609222708,79.6204,1
chr16:67993142-67993642,10.2580609222708,91.3393,1
chr12:108618056-108618556,10.2580609222708,102.935,1
chr16:89240684-89241184,10.228412519118743,113.855,1
chr15:74382306-74382806,10.228412519118743,121.794,1
chr15:74382506-74383006,10.228412519118743,95.4675,1
chr19:51097323-51097823,10.228412519118743,45.2202,1
chr22:19679520-19680020,10.213958789757443,64.0508,1
chr1:27357451-27357951,10.181774106386044,42.9996,1
chr7:156949390-156949890,10.14206473528057,34.6343,1
chr1:155085980-155086480,10.14206473528057,75.0214,1
chr19:4809498-4809998,10.14206473528057,47.7159,1
chr19:4809702-4810202,10.14206473528057,42.2054,1
chr19:13277888-13278388,10.14206473528057,53.7941,1
chr19:47863363-47863863,10.14206473528057,91.8268,1
chr12:108511870-108512370,10.11747546204512,75.2253,1
chr16:96834-97334,10.094743951251548,194.084,1
chr20:49333882-49334382,10.094743951251548,303.673,1
chr22:22710633-22711133,10.094743951251548,63.76,1
chr22:22710832-22711332,10.094743951251548,49.6156,1
chr19:4523195-4523695,10.094743951251548,20.0556,1
chr17:74368190-74368690,10.094743951251548,75.3538,1
chr16:31868742-31869242,9.995678626217355,47.0396,1
chr11:17383848-17384348,9.995678626217355,92.2669,1
chr16:31868543-31869043,9.995678626217355,67.4011,1
chr12:126747478-126747978,9.97469413473523,41.2545,1
chr11:128831101-128831601,9.97469413473523,36.1214,1
chr3:120558822-120559322,9.97469413473523,90.0148,1
chr14:99319986-99320486,9.97469413473523,102.019,1
chr14:99320189-99320689,9.97469413473523,75.4254,1
chr1:30779505-30780005,9.96657624451305,72.9072,1
chr1:53393265-53393765,9.96657624451305,49.3017,1
chr5:179166934-179167434,9.96657624451305,11.8883,1
chr2:233053878-233054378,9.96657624451305,57.6239,1
chr19:17996776-17997276,9.924453038607467,84.6175,1
chr3:161273559-161274059,9.899629454882437,70.9214,1
chr1:36099625-36100125,9.899629454882437,126.148,1
chr7:55415129-55415629,9.899629454882437,53.4369,1
chr20:44685116-44685616,9.899629454882437,91.9154,1
chr17:29580246-29580746,9.899629454882437,74.8537,1
chr6:11655503-11656003,9.899629454882437,58.8536,1
chr20:58179476-58179976,9.882728704344236,183.997,1
chr20:58179694-58180194,9.882728704344236,115.328,1
chr20:3710804-3711304,9.869666231504992,64.1351,1
chr19:15629215-15629715,9.85078088734462,91.0457,1
chr20:31661454-31661954,9.829738284605044,45.2348,1
chr8:103111407-103111907,9.829738284605044,87.6961,1
chr5:174311920-174312420,9.806875401645538,69.3864,1
chr20:50071202-50071702,9.806875401645538,218.663,1
chr2:227471815-227472315,9.790484985457368,66.18,1
chr20:49979119-49979619,9.790484985457368,153.632,1
chr1:15304670-15305170,9.790484985457368,74.9688,1
chr20:49978913-49979413,9.790484985457368,206.288,1
chr1:15304878-15305378,9.790484985457368,60.5345,1
chr17:43677847-43678347,9.790484985457368,67.1653,1
